file_id,triangles,bin,license,relative_path
1458693,936,2,"Creative Commons - Attribution",Models/thingi10k/1458693.gltf
904479,972,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/904479.gltf
81265,1008,2,"Creative Commons - Attribution",Models/thingi10k/81265.gltf
110172,1028,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/110172.gltf
225950,1044,2,"Creative Commons - Attribution",Models/thingi10k/225950.gltf
1291011,1100,2,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1291011.gltf
1228195,1140,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1228195.gltf
108517,1164,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/108517.gltf
55660,1300,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/55660.gltf
368891,1308,2,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/368891.gltf
1146184,1414,2,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1146184.gltf
929561,1434,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/929561.gltf
116890,1512,2,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/116890.gltf
567030,1624,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/567030.gltf
97593,1672,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/97593.gltf
118304,1876,2,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/118304.gltf
1453582,1980,2,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/1453582.gltf
474825,2048,2,"Creative Commons - Attribution - Share Alike",Models/thingi10k/474825.gltf
97661,2076,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/97661.gltf
958479,2184,3,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/958479.gltf
102248,2260,3,"Creative Commons - Attribution",Models/thingi10k/102248.gltf
37967,2540,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/37967.gltf
95502,2632,3,"Creative Commons - Attribution",Models/thingi10k/95502.gltf
84023,2664,3,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/84023.gltf
92837,2828,3,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/92837.gltf
98660,3070,3,"Creative Commons - Attribution",Models/thingi10k/98660.gltf
79729,3226,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/79729.gltf
77944,3264,3,"Creative Commons - Attribution - No Derivatives",Models/thingi10k/77944.gltf
255495,3264,3,"Creative Commons - Attribution",Models/thingi10k/255495.gltf
106786,3316,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/106786.gltf
1215417,3316,3,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1215417.gltf
462545,3336,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/462545.gltf
1312958,4018,3,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1312958.gltf
56954,4060,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/56954.gltf
1620055,4232,3,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1620055.gltf
116294,4638,3,"Creative Commons - Attribution - Share Alike",Models/thingi10k/116294.gltf
62593,4874,3,"Creative Commons - Attribution",Models/thingi10k/62593.gltf
39295,5396,3,"Creative Commons - Attribution",Models/thingi10k/39295.gltf
100894,5820,4,"Creative Commons - Attribution",Models/thingi10k/100894.gltf
151365,6298,4,"Creative Commons - Attribution - Share Alike",Models/thingi10k/151365.gltf
113863,6578,4,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/113863.gltf
1535134,6648,4,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1535134.gltf
118292,7048,4,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/118292.gltf
45814,7216,4,"Creative Commons - Attribution - Share Alike",Models/thingi10k/45814.gltf
200967,7256,4,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/200967.gltf
702424,8432,4,"Creative Commons - Attribution - Share Alike",Models/thingi10k/702424.gltf
1315841,8576,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1315841.gltf
92152,9118,4,"Creative Commons - Attribution",Models/thingi10k/92152.gltf
1484067,9406,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1484067.gltf
1315844,10704,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1315844.gltf
822696,10994,4,"Creative Commons - Attribution - Share Alike",Models/thingi10k/822696.gltf
1312969,11428,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1312969.gltf
509310,11520,4,"Creative Commons - Attribution - Share Alike",Models/thingi10k/509310.gltf
501151,11560,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/501151.gltf
814761,11694,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/814761.gltf
1315833,11928,4,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1315833.gltf
66485,12156,4,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/66485.gltf
472055,12226,4,"Creative Commons - Attribution",Models/thingi10k/472055.gltf
313878,15730,5,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/313878.gltf
1036319,17134,5,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1036319.gltf
472182,17170,5,"Creative Commons - Attribution",Models/thingi10k/472182.gltf
92118,17428,5,"Creative Commons - Attribution",Models/thingi10k/92118.gltf
313875,18944,5,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/313875.gltf
101620,20064,5,"Creative Commons - Attribution",Models/thingi10k/101620.gltf
636799,20580,5,"Creative Commons - Attribution - Share Alike",Models/thingi10k/636799.gltf
314586,21224,5,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/314586.gltf
67919,22586,5,"Creative Commons - Attribution",Models/thingi10k/67919.gltf
121868,22848,5,"Creative Commons - Attribution - Share Alike",Models/thingi10k/121868.gltf
153960,23868,5,"Creative Commons - Attribution",Models/thingi10k/153960.gltf
90359,25714,5,"Creative Commons - Attribution",Models/thingi10k/90359.gltf
428606,28458,5,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/428606.gltf
127243,30436,5,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/127243.gltf
1396892,33200,5,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/1396892.gltf
636807,34264,5,"Creative Commons - Attribution - Share Alike",Models/thingi10k/636807.gltf
956446,34450,5,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/956446.gltf
40994,34984,5,"Creative Commons - Attribution - Share Alike",Models/thingi10k/40994.gltf
76778,37354,5,"Creative Commons - Attribution",Models/thingi10k/76778.gltf
252631,38912,5,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/252631.gltf
40982,43542,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/40982.gltf
101342,48632,6,"Creative Commons - Attribution",Models/thingi10k/101342.gltf
42156,51046,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/42156.gltf
125067,56024,6,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/125067.gltf
43399,56700,6,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/43399.gltf
591243,58592,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/591243.gltf
50879,59840,6,"Creative Commons - Attribution",Models/thingi10k/50879.gltf
734278,60754,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/734278.gltf
260537,65266,6,"Creative Commons - Attribution",Models/thingi10k/260537.gltf
75121,68402,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/75121.gltf
72960,69994,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/72960.gltf
789081,75676,6,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/789081.gltf
91408,80834,6,"Creative Commons - Attribution",Models/thingi10k/91408.gltf
763714,83328,6,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/763714.gltf
247069,87658,6,"Creative Commons - Attribution - No Derivatives",Models/thingi10k/247069.gltf
96130,92128,6,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/96130.gltf
101330,96384,6,"Creative Commons - Attribution",Models/thingi10k/101330.gltf
398304,96672,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/398304.gltf
474822,112060,6,"Creative Commons - Attribution - Share Alike",Models/thingi10k/474822.gltf
1397588,115676,6,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/1397588.gltf
472069,122490,7,"Creative Commons - Attribution",Models/thingi10k/472069.gltf
472051,122682,7,"Creative Commons - Attribution",Models/thingi10k/472051.gltf
472046,127710,7,"Creative Commons - Attribution",Models/thingi10k/472046.gltf
472052,132308,7,"Creative Commons - Attribution",Models/thingi10k/472052.gltf
472045,133012,7,"Creative Commons - Attribution",Models/thingi10k/472045.gltf
99270,134142,7,"Creative Commons - Attribution",Models/thingi10k/99270.gltf
99275,134206,7,"Creative Commons - Attribution",Models/thingi10k/99275.gltf
399564,138264,7,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/399564.gltf
1706466,140124,7,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1706466.gltf
461109,156064,7,"Creative Commons - Attribution - Share Alike",Models/thingi10k/461109.gltf
762584,163142,7,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/762584.gltf
1063866,176752,7,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1063866.gltf
815481,182040,7,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/815481.gltf
399566,191706,7,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/399566.gltf
601646,231938,7,"Creative Commons - Attribution - Share Alike",Models/thingi10k/601646.gltf
375065,242390,7,"Creative Commons - Attribution",Models/thingi10k/375065.gltf
87689,256412,7,"Attribution - Non-Commercial - No Derivatives",Models/thingi10k/87689.gltf
133078,259320,7,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/133078.gltf
331105,271354,7,"Creative Commons - Attribution",Models/thingi10k/331105.gltf
99269,287716,7,"Creative Commons - Attribution",Models/thingi10k/99269.gltf
551021,348128,8,"Creative Commons - Attribution - Share Alike",Models/thingi10k/551021.gltf
815483,363862,8,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/815483.gltf
1172870,370480,8,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/1172870.gltf
252632,455232,8,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/252632.gltf
151360,464306,8,"Creative Commons - Attribution - Share Alike",Models/thingi10k/151360.gltf
151376,464306,8,"Creative Commons - Attribution - Share Alike",Models/thingi10k/151376.gltf
815485,509802,8,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/815485.gltf
518029,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518029.gltf
518030,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518030.gltf
518031,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518031.gltf
518033,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518033.gltf
518035,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518035.gltf
518085,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518085.gltf
518086,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518086.gltf
518087,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518087.gltf
518088,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518088.gltf
518089,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518089.gltf
518094,619008,8,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/518094.gltf
815484,679866,8,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/815484.gltf
461115,821952,8,"Creative Commons - Attribution - Share Alike",Models/thingi10k/461115.gltf
1255206,938940,9,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1255206.gltf
815486,1099474,9,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/815486.gltf
940414,1194952,9,"Creative Commons - Attribution - Share Alike",Models/thingi10k/940414.gltf
719791,1742892,9,"Creative Commons - Attribution",Models/thingi10k/719791.gltf
226633,2451710,9,"Creative Commons - Attribution - Share Alike",Models/thingi10k/226633.gltf
